,level_0,index,Model,Params,MSE,Dataset
0,4316,4316,Simple Exponential Smoothing,smoothing_level=0.8,369833209.0359506,CO2
1,4315,4315,Simple Exponential Smoothing,smoothing_level=0.7,373164864.19943446,CO2
2,4381,4381,Auto Regressive Moving Average,"order=(6, 1, 0)",373494973.591422,CO2
3,4317,4317,Simple Exponential Smoothing,smoothing_level=0.9,374107397.3135479,CO2
4,4302,4302,Random Forest Regression,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",374414864.31834793,CO2
5,4301,4301,Random Forest Regression,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",376301628.0589147,CO2
6,4390,4390,Auto Regressive Moving Average,"order=(7, 1, 0)",381227381.47852,CO2
7,4320,4320,Auto Regressive Moving Average,"order=(3, 0, 0)",384800155.2780313,CO2
8,4322,4322,Auto Regressive Moving Average,"order=(5, 0, 0)",385185260.4550689,CO2
9,4204,4204,Passive Aggressive Regression,"{'C': 1.0, 'average': False, 'early_stopping': False, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive', 'max_iter': 400, 'n_iter_no_change': 5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",385417243.6499161,CO2
10,4211,4211,Passive Aggressive Regression,"{'C': 1.0, 'average': False, 'early_stopping': False, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive', 'max_iter': 1100, 'n_iter_no_change': 5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",385417345.8024897,CO2
11,4254,4254,Passive Aggressive Regression,"{'C': 1.0, 'average': False, 'early_stopping': False, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive', 'max_iter': 5400, 'n_iter_no_change': 5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",385418526.118316,CO2
