,Unnamed: 0,CO2,CH4,N2O
0,1990,319999.8455,117840.4201,28337.973
1,1991,329716.3529,119392.8666,27177.03342
2,1992,333049.7117,117998.4615,27988.13134
3,1993,338075.1071,118275.3551,26219.01096
4,1994,360853.3477,124026.181,28335.69607
5,1995,347496.6454,127038.4565,28258.99299
6,1996,359553.2713,131254.5972,27629.11144
7,1997,375317.2362,138365.1189,29935.23041
8,1998,393944.4869,143331.7863,30056.78095
9,1999,386967.007,136486.7789,31511.02751
10,2000,195440.7052,139956.6732,31982.24292
11,2001,197460.6948,140413.0782,31193.86759
12,2002,229882.0081,143348.7196,31902.01696
13,2003,224329.1181,145781.6545,32541.26374
14,2004,238241.8115,144473.8109,34071.64722
15,2005,253144.3784,147152.5841,32198.64008
16,2006,262024.906,151651.1667,31918.17033
17,2007,289366.1235,161204.3271,33870.67012
18,2008,313910.9347,180349.0479,35691.53692
19,2009,320049.4219,177993.3143,34340.82064
20,2010,310682.7739,168300.2494,40108.0182
21,2011,331790.5137,168480.1622,40920.94778
22,2012,325051.5099,160183.7344,38281.4395
23,2013,324012.1925,163464.8722,45831.02824
24,2014,326893.5366,168613.8559,40075.08424
25,2015,323593.4472,168025.6552,42953.34904
26,2016,370858.748,174362.9978,36897.13813
27,2017,323275.7644,170958.5418,38627.52932
28,2018,332067.7856,173705.9119,42778.19674
29,2019,295777.936,175558.4682,41190.82233
